timestamp[us],anchor_id,nlos,distance[m],azimuth[degrees],elevation[degrees]
33781784,0,0,3.08,3.12,-25.37
33781815,1,1,2.98,60,56.13
33781815,2,1,3.05,-25.112,12.11
33781815,3,1,3.24,-25.46,-22
33931825,0,0,3.05,3.4,-24.49
33931825,1,1,3.03,60,58.21
33931825,2,1,3.12,-27.111,11.68
33931825,3,1,3.19,-23.12,-23.67
34081846,0,0,3.1,3.11,-24.69
34081846,1,1,3.02,60,59.11
34081846,2,1,3.07,-24.49,17.33
34081846,3,1,3.27,-24.117,-21.89
34231837,0,0,3.05,3.1,-22.37
34231868,1,1,3.08,46.89,37.126
34231868,2,1,3.06,-25.125,15.118
34231868,3,1,3.28,-24.84,-22.114
34381828,0,0,3.07,2.9,-23.4
34381859,1,1,2.99,60,56.47
34381859,2,1,3.09,-24.1,12.52
34381859,3,1,3.26,-24.91,-22.104
34531911,0,0,3.07,3.37,-24.26
34531911,1,1,3.06,60,55.75
34531911,2,1,3.14,-24.12,16.101
34531911,3,1,3.24,-26.104,-23.122
34681871,0,0,3.08,3.54,-25.55
34681871,1,1,3.1,46.1,42.121
34681871,2,1,3.17,-24.1,12.123
34681871,3,1,3.19,-24.26,-23.123
34831923,0,0,3.06,3.53,-24.91
34831923,1,1,3.04,48.31,45.126
34831923,2,1,3.11,-26.8,10.7
34831923,3,1,3.29,-25.111,-23.114
34981872,0,0,3.08,2.29,-22.71
34981872,1,1,2.93,60,58.53
34981872,2,1,3.05,-24.93,10.97
34981872,3,1,3.26,-23.1,-21.18
35131924,0,0,3.08,2.68,-23.116
35131924,1,1,2.99,60,58.72
35131924,2,1,3.09,-26.86,6.97
35131955,3,1,3.26,-23.36,-21.124
35281885,0,0,3.06,2.96,-23.85
35281885,1,1,3.03,54.98,54.1
35281885,2,1,3.11,-26.85,11.79
35281885,3,0,3.28,-24.32,-22.79
35431937,0,0,3.04,3.7,-22.15
35431937,1,1,2.96,60,58.47
35431937,2,1,3.16,-23.67,14.101
35431937,3,1,3.3,-24.89,-22.1
35581898,0,0,3.09,2.101,-23.38
35581898,1,1,3.02,46.45,41.102
35581928,2,1,3.07,-23.46,13.19
35581928,3,1,3.26,-26.127,-24.105
35731919,0,0,3.08,2.77,-22.12
35731919,1,1,2.97,60,51.74
35731950,2,1,3.1,-24.95,12.125
35731950,3,1,3.28,-24.55,-22.35
35881910,0,0,3.12,2.6,-21.53
