timestamp[us],temp[celsius],ax[m/s^2],ay[m/s^2],az[m/s^2],gx[rad/s],gy[rad/s],gz[rad/s]
12385082,31.3711,-0.0455661,0.015689,9.81756,-7.92122e-06,0.000302675,-3.6312e-06
12393590,31.374,-0.0434384,0.0154204,9.81341,9.54933e-06,0.000414273,-6.17191e-05
12402098,31.3628,-0.0421957,0.0135012,9.81842,-6.68065e-06,0.000359973,9.01315e-05
12410606,31.3638,-0.0438865,0.0129838,9.82055,-0.000196485,0.000111546,0.000149564
12415699,31.3726,-0.0435953,0.0143951,9.81421,3.15557e-05,0.000283038,0.000225503
12423589,31.3809,-0.0456687,0.0160814,9.81789,0.00016678,0.000342302,-3.78565e-06
12432097,31.373,-0.0455949,0.0159802,9.82352,2.99248e-05,0.000131411,0.000147551
12440604,31.3677,-0.0453012,0.0166387,9.81737,-8.45217e-05,0.0001863,5.35079e-05
12436193,31.3765,-0.0459616,0.016623,9.81396,-8.49431e-05,0.000208629,5.46682e-05
12444237,31.3784,-0.0434292,0.0138583,9.81681,-7.24509e-06,0.000187711,7.3008e-05
12452115,31.3813,-0.0433081,0.0132572,9.81891,3.34271e-05,0.000322791,0.000204418
12460593,31.3813,-0.041008,0.0144458,9.81605,1.20044e-05,0.000300626,-4.38375e-05
12466764,31.3618,-0.042585,0.0144107,9.81462,0.000163205,3.45009e-05,-4.20513e-05
12475272,31.3628,-0.0442008,0.015268,9.81376,-6.88133e-06,0.000397436,7.15238e-05
12483381,31.3628,-0.0438023,0.0158869,9.81738,1.28423e-05,0.000186875,-5.02839e-06
12490652,31.3677,-0.0425117,0.0145027,9.81474,-0.000160056,-0.000119851,5.32781e-05
12495188,31.3804,-0.0459063,0.0145257,9.81537,0.000147251,-2.2699e-05,-4.28792e-06
12503695,31.3711,-0.0450281,0.0160805,9.81288,-0.000103552,0.000456442,0.000110944
12512203,31.3672,-0.0432353,0.0125774,9.81898,5.06376e-05,0.000454976,-0.000100151
12520711,31.3779,-0.0432343,0.0137179,9.81993,-0.000102712,0.000187901,1.45159e-05
12516136,31.3823,-0.0443938,0.0156871,9.8136,-0.000180387,0.000343603,-3.02914e-06
12524165,31.376,-0.0439447,0.0155342,9.81191,6.99424e-05,0.000323104,7.13148e-05
12532100,31.3774,-0.0439078,0.0150888,9.81906,0.000184947,0.000168812,0.000205511
12540608,31.3838,-0.0444077,0.0139359,9.81713,-4.4797e-05,-0.000159654,-4.04727e-05
12547972,31.3779,-0.0429746,0.0166157,9.81399,4.89267e-05,0.000187062,7.29061e-05
12556479,31.3633,-0.0447921,0.0156957,9.81479,0.000146235,0.000398366,-8.12382e-05
12563945,31.3613,-0.0453891,0.0133451,9.82202,6.83653e-05,0.00020806,-8.09465e-05
12570606,31.3726,-0.0448482,0.0156701,9.81844,0.000203107,0.000148644,-9.99121e-05
12575112,31.3672,-0.0447722,0.0156178,9.81804,-7.59119e-06,5.47263e-05,-3.95073e-06
12583590,31.3628,-0.0450916,0.0170373,9.82078,-0.000158887,0.000265016,0.000168424
12592098,31.3716,-0.0460793,0.0161487,9.81831,-0.00012373,0.000243693,-2.62033e-06
12600605,31.3896,-0.043495,0.0140693,9.81849,-6.5937e-05,0.000205775,-9.92527e-05
12595102,31.3892,-0.0447697,0.0140475,9.81996,-0.00033237,0.000187369,-4.02662e-05
12603608,31.3828,-0.043788,0.0151611,9.81329,-0.000332272,0.000223905,1.7242e-05
12612116,31.3726,-0.0418841,0.013598,9.81277,-4.52232e-05,0.000208202,-9.77316e-05
12620593,31.3643,-0.0413093,0.0115501,9.82235,-0.000372122,9.37928e-05,-5.85664e-05
12625220,31.3696,-0.0445489,0.0146773,9.81785,-0.00021785,-4.17642e-05,5.42326e-05
12633728,31.3672,-0.0446604,0.0158605,9.81208,-4.40885e-05,0.000226892,9.08252e-05
12642205,31.3706,-0.0444264,0.0124432,9.81265,0.000166406,0.000340904,5.23176e-05
12650713,31.3726,-0.0428147,0.014952,9.82004,-0.000123656,-6.11441e-05,-2.09829e-05
12656171,31.3701,-0.0442501,0.0138891,9.81836,-8.2058e-05,1.60789e-05,7.27262e-05
12664678,31.3647,-0.0439885,0.0155342,9.81745,6.97829e-05,0.000243623,8.96336e-05
12672797,31.3652,-0.0428746,0.0155364,9.8166,-0.000238261,0.000340978,5.28653e-05
12680620,31.3828,-0.0448427,0.0136376,9.81837,0.000124575,0.000358612,-4.4066e-06
12676818,31.3818,-0.0445673,0.0133736,9.81946,-2.65699e-05,0.000496714,9.19487e-05
12684079,31.3809,-0.0448932,0.0152347,9.81611,-0.000161326,0.000167482,-2.17507e-05
12692102,31.374,-0.0447015,0.0153166,9.81574,1.06938e-05,0.00014826,-0.000117983
12700609,31.3706,-0.0443309,0.0162992,9.8167,-0.000102368,5.19138e-05,9.19568e-05
12735594,31.3657,-0.0447857,0.0143009,9.81582,6.68845e-05,0.000111479,-0.000119685
12743590,31.3657,-0.0441582,0.0110427,9.81516,-9.61743e-06,7.62277e-05,-4.04019e-05
12752097,31.3789,-0.0399645,0.0118292,9.81672,-8.34725e-05,0.000227094,0.000112471
12760605,31.3789,-0.0438565,0.0119783,9.81554,-2.59272e-05,0.000131057,1.59941e-05
12765541,31.3667,-0.0434529,0.0173654,9.82623,-0.000237612,0.000150658,0.000151532
12773618,31.3711,-0.0459061,0.0159062,9.81037,6.74524e-05,-9.85623e-05,0.000111677
12782095,31.3818,-0.0449521,0.0170721,9.82096,0.000107493,0.000359534,0.000148369
12790603,31.3853,-0.045217,0.0146737,9.82017,-0.000141408,0.00013008,-4.12338e-05
12785099,31.3818,-0.0452231,0.0178186,9.81888,3.11017e-05,0.000416886,0.000165159
12793607,31.3813,-0.0436505,0.0168699,9.81434,-0.000141792,0.00039727,3.34779e-05
12802115,31.3799,-0.0445156,0.0136955,9.81718,-0.000216763,0.000396995,-0.000136727
12810623,31.3789,-0.0426573,0.0127386,9.82005,-0.0002942,0.000475521,-2.75535e-06
12815549,31.3774,-0.042179,0.0150715,9.81452,-8.40064e-05,0.000188654,0.000128246
12824056,31.375,-0.0432679,0.0133171,9.81381,-7.3168e-06,0.00013093,0.000147218
12832564,31.3652,-0.0440789,0.013414,9.81561,-0.00025623,0.000170088,0.000208287
12840621,31.3662,-0.0451881,0.0169732,9.81833,-6.40256e-05,0.000130398,-3.83936e-06
12835653,31.3755,-0.0450794,0.0138789,9.81698,0.000184407,0.000186662,-5.37146e-06
12843594,31.3857,-0.044061,0.0146336,9.81334,-0.000294976,0.000169794,-3.9729e-05
12852102,31.3735,-0.0453032,0.0130042,9.81278,-8.27665e-05,0.000205913,5.38265e-05
12860609,31.3579,-0.0421104,0.0131904,9.81847,-0.000296509,0.000302008,-9.79701e-05
12866258,31.3657,-0.0419049,0.011909,9.81583,0.000317588,0.000245584,0.000109833
12874230,31.3735,-0.043444,0.0133826,9.81621,8.61178e-05,0.000128842,7.25686e-05
12882708,31.375,-0.0433147,0.0162976,9.81884,4.89981e-05,0.000226997,0.000207903
12890608,31.3721,-0.0444296,0.0162077,9.81961,5.04451e-05,0.000130059,3.54261e-05
12896200,31.3755,-0.0461174,0.014661,9.81769,-0.000275134,0.000205759,0.000168033
12904708,31.3726,-0.0472428,0.0172037,9.81304,-7.50415e-06,0.000283184,3.40456e-05
12912568,31.3755,-0.0433648,0.0145332,9.82085,0.00018472,0.000226439,9.05134e-05
12920625,31.3618,-0.0435845,0.0128781,9.82067,-0.000122187,0.000188005,0.000147639
12925805,31.3569,-0.0442717,0.0142925,9.81418,8.90119e-05,0.000207688,5.09978e-05
12934313,31.3789,-0.0432664,0.013704,9.81953,5.06861e-05,0.000283869,3.32427e-05
12942821,31.3799,-0.0433808,0.0170575,9.81852,8.74907e-05,0.000188671,3.55604e-05
12950715,31.3843,-0.0447571,0.0162458,9.8156,1.21333e-05,0.000166025,0.000207692
13025514,31.3857,-0.0449943,0.0172047,9.81247,-0.000218991,0.000511449,0.00014993
13033643,31.3818,-0.0449773,0.0163628,9.8197,3.07487e-05,-0.00015615,0.000148962
